year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2000,4,2000-04-23 00:00:00+00:00,British Grand Prix,WUR,12,Benetton,20.0,9,+1 Lap,0.0
2000,4,2000-04-23 00:00:00+00:00,British Grand Prix,HEI,15,Prost,17.0,R,Engine,0.0
2000,4,2000-04-23 00:00:00+00:00,British Grand Prix,ZON,23,BAR,16.0,R,Spun off,0.0
2000,4,2000-04-23 00:00:00+00:00,British Grand Prix,BAR,4,Ferrari,1.0,R,Hydraulics,0.0
2000,4,2000-04-23 00:00:00+00:00,British Grand Prix,DLR,18,Arrows,19.0,R,Electrical,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,,1,McLaren,2.0,1,Finished,10.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,WUR,12,Benetton,18.0,10,+1 Lap,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,TRU,6,Jordan,7.0,12,+1 Lap,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,HEI,15,Prost,19.0,16,+3 Laps,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,BUT,10,Williams,10.0,17,Engine,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,COU,2,McLaren,4.0,2,Finished,6.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,BAR,4,Ferrari,3.0,3,Finished,4.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,SCH,9,Williams,5.0,4,Finished,3.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,MSC,3,Ferrari,1.0,5,Finished,2.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,ZON,23,BAR,16.0,8,+1 Lap,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,FIS,11,Benetton,13.0,9,+1 Lap,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,VIL,22,BAR,6.0,R,Hydraulics,0.0
2000,5,2000-05-07 00:00:00+00:00,Spanish Grand Prix,DLR,18,Arrows,22.0,R,Collision,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,MSC,3,Ferrari,2.0,1,Finished,10.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,BUT,10,Williams,11.0,10,Electrical,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,WUR,12,Benetton,14.0,12,Collision,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,,1,McLaren,3.0,2,Finished,6.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,COU,2,McLaren,1.0,3,+1 Lap,4.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,BAR,4,Ferrari,4.0,4,+1 Lap,3.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,FIS,11,Benetton,7.0,5,+1 Lap,2.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,DLR,18,Arrows,12.0,6,+1 Lap,1.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,ZON,23,BAR,18.0,R,Spun off,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,VIL,22,BAR,9.0,R,Engine,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,SCH,9,Williams,5.0,R,Collision,0.0
2000,6,2000-05-21 00:00:00+00:00,European Grand Prix,TRU,6,Jordan,6.0,R,Collision,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,COU,2,McLaren,3.0,1,Finished,10.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,BAR,4,Ferrari,6.0,2,Finished,6.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,FIS,11,Benetton,8.0,3,Finished,4.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,,7,Jaguar,10.0,4,Finished,3.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,VIL,22,BAR,17.0,7,+1 Lap,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,HEI,15,Prost,18.0,8,+1 Lap,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,MSC,3,Ferrari,1.0,R,Suspension,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,ZON,23,BAR,20.0,R,Spun off,0.0
