pct_puntos_actual,pct_linear_points,posicion_media,tendencia_ultimas_3,diff_con_lider_normalizada,progreso_temporada,year,round,driver,team,team_normalized,driver_quality_3y,team_avg_pos_3y,team_trend,pct_puntos_final
0.013751375137513752,0.05555555555555555,1.0,1.0,0.0,0.05555555555555555,2008,1,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.019251925192519254,0.1,3.0,3.0,0.0,0.1111111111111111,2008,2,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.019251925192519254,0.12222222222222222,6.333333333333333,6.333333333333333,0.006600660066006597,0.16666666666666666,2008,3,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.027502750275027504,0.17222222222222222,5.5,7.0,0.0121012101210121,0.2222222222222222,2008,4,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.0374037403740374,0.225,4.8,6.0,0.010451045104510455,0.2777777777777778,2008,5,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.05115511551155116,0.28055555555555556,4.166666666666667,2.0,0.0,0.3333333333333333,2008,6,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.05115511551155116,0.28055555555555556,4.166666666666667,2.0,0.0038503850385038507,0.3888888888888889,2008,7,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.0517051705170517,0.3111111111111111,5.0,4.333333333333333,0.013201320132013208,0.4444444444444444,2008,8,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.06545654565456546,0.36666666666666664,4.5,4.0,0.0,0.5,2008,9,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.07920792079207921,0.4222222222222222,4.111111111111111,4.0,0.0,0.5555555555555556,2008,10,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.0847084708470847,0.4666666666666667,4.2,2.3333333333333335,0.0,0.6111111111111112,2008,11,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.09460946094609461,0.5194444444444445,4.0,2.6666666666666665,0.0,0.6666666666666666,2008,12,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.10286028602860287,0.5694444444444444,3.9166666666666665,3.3333333333333335,0.0,0.7222222222222222,2008,13,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.10616061606160616,0.6083333333333333,4.153846153846154,4.0,0.0,0.7777777777777778,2008,14,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.11441144114411442,0.6583333333333333,4.071428571428571,4.333333333333333,0.0,0.8333333333333334,2008,15,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.11441144114411442,0.6833333333333333,4.6,7.333333333333333,0.0,0.8888888888888888,2008,16,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.12816281628162815,0.7388888888888889,4.375,5.333333333333333,0.0,0.9444444444444444,2008,17,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.13366336633663367,0.7833333333333333,4.411764705882353,6.0,0.0,1.0,2008,18,HAM,McLaren,McLaren,63.26923076923077,3.428563062218891,-1.5095108695652177,0.13366336633663367
0.009900990099009901,0.05277777777777778,2.0,2.0,0.0038503850385038507,0.05555555555555555,2008,1,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.014301430143014302,0.09444444444444444,4.0,4.0,0.004950495049504951,0.1111111111111111,2008,2,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.020902090209020903,0.14166666666666666,4.0,4.0,0.004950495049504948,0.16666666666666666,2008,3,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.022002200220022004,0.175,5.25,6.333333333333333,0.0176017601760176,0.2222222222222222,2008,4,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.027502750275027504,0.21944444444444444,5.2,6.0,0.020352035203520354,0.2777777777777778,2008,5,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.027502750275027504,0.2388888888888889,6.666666666666667,9.333333333333334,0.023652365236523653,0.3333333333333333,2008,6,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.0374037403740374,0.2916666666666667,6.0,7.0,0.017601760176017604,0.3888888888888889,2008,7,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.0374037403740374,0.3138888888888889,6.875,9.666666666666666,0.027502750275027507,0.4444444444444444,2008,8,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
0.047304730473047306,0.36666666666666664,6.333333333333333,5.666666666666667,0.018151815181518156,0.5,2008,9,HEI,BMW Sauber,Sauber,69.57407407407408,7.226734069601145,-3.1440886699507393,0.08250825082508251
